example_english,example_korean
I will definitely help my friend.,나는 반드시 내 친구를 도와줄게요.
Please delete the extra mark from the paper.,종이에서 여분의 표시를 삭제해요.
The delicate butterfly lands on a flower.,섬세한 나비가 꽃 위에 앉아요~요.
The delicate flower blooms in spring.,연약한 꽃이 봄에 피어요.
I eat a delicious apple every day.,매일 맛있는 사과를 먹어요.
The delivery brings our new toys.,배달이 우리의 새로운 장난감을 가져다 주고 있어요.
Her delivery was clear and fun during her speech.,그녀의 전달이 연설 때 명확하고 재미있었어요.
The density of a rock is very high.	,바위의 밀도가 매우 높아요.	
The baby is dependent on his mom.,아기가 엄마에게 의존하고 있어요.
We choose clothes depending on the weather.,우리는 날씨에 따라 옷을 골라요.
Tom felt depressed during rainy days.,톰은 비 오는 날에 우울했어요.
The kids found a deserted island on their boat ride.,아이들이 보트 여행 중 무인도를 찾았어요.
I design our school playground.,나는 우리 학교 운동장을 설계해요.
The designer makes pretty clothes.,디자이너가 예쁜 옷을 만들어요.
I sit at my desk to learn.	I enjoy my class.,나는 책상에 앉아 공부해요.	수업을 즐기고 있어요.
I eat dessert after lunch.,저는 점심 후에 후식을 먹어요.
A detective looks for clues.,탐정이 단서를 찾고 있어요.
A detective looks for clues.	,형사가 단서를 찾아요.
The detox helps remove bad stuff from my body.,해독이 내 몸에서 나쁜 것들을 제거해요.
The developer creates a new game.,개발자가 새 게임을 만들어요.
I use a small device to play games.,나는 작은 장치를 사용해 게임을 해요.
The diamond shines in the bright sun.,다이아몬드가 밝은 햇빛 속에서 빛나고 있어요.
Leaves die in autumn.,잎들이 가을에 죽어요.
My toy robot will die if the battery is low.,내 장난감 로봇은 배터리가 없으면 멎어요.
Some fish die from polluted water.,어떤 물고기는 오염된 물로 죽어요.
These toys differ in size.,이 장난감들은 크기가 달라요.
The teacher shows the difference between red and blue.,선생님이 빨강과 파랑의 차이를 보여주고 있어요.
I use different crayons to draw pictures.,나는 그림을 그릴 때 다른 크레용을 사용해요.
Max plays differently with his toys.	,맥스는 장난감을 다르게 가지고 놀아요.
My math homework is difficult.,내 수학 숙제가 어려워요.
I have difficulty with my homework.,숙제가 어려워요.
I eat slowly so I can digest my food.,나는 천천히 밥을 먹어서 소화를 잘 해요.
Digital is fun.,디지털이 재미있어요.
The digital clock shows the time.,디지털 시계가 시간을 보여요.
My family eats dim sum at dinner.,우리 가족은 저녁에 만두를 먹어요.
I eat dim sum with my mom at lunch.,나는 엄마와 점심에 딤섬을 먹어요.
We eat dinner together at home.,우리는 집에서 함께 저녁식사를 먹어요.
I dip my cookie in milk.,나는 쿠키를 우유에 담가요.
I dip my chips in the tasty dip.,나는 칩을 맛있는 소스에 찍어 먹어요~요.
The coach will direct the team during practice.,코치가 연습 시간에 팀을 명령해요.
The sign directs us to the park.,표지판이 우리를 공원으로 향해요.
I direct the boat to the shore.,나는 보트를 해안으로 이끌어요.
Please direct the kids to the playground.,아이들을 놀이터로 안내해요.
My dad direct the team during practice.,우리 아빠가 연습 동안 팀을 감독해요.
Please take the direct road	to school.,직접적인 길로 학교에 가요.
The arrow points in one direction.,화살표가 한쪽으로 가리키고 있어요.
Follow the direction to the park.,공원으로 가는 방향을 따라가요.
The teacher gives a clear direction.,선생님이 명확한 지시를 주고 있어요.
The movie director gave clear direction to the actors.,영화 감독이 배우들에게 명확한 연출을 해요.
I went	directly to school.,나는 직접 학교에 갔어요.
I answered directly	when my teacher called me.,"선생님이 부르셨을 때, 나는 즉각 대답했어요."
He answered the question directly.,그는 단적으로 질문에 대답했어요.
The director works hard for our school.,임원분이 우리 학교를 위해 열심히 일해요.
The director makes a fun movie.,감독이 재미있는 영화를 만들어요.
The director helps us do our work.,책임자가 우리 일을 도와주고 있어요.
I disagree with my friend	because we choose different games.,나는 친구와 게임을 선택하는 것에 대해 동의하지 않아요.
I disagree with your idea.,나는 네 생각에 동의하지 않아요.
I disagree with my friend's idea.,나는 친구의 생각에 반대해요.
I feel disappointed because I lost my toy.,내가 장난감을 잃어서 실망했어요.
A big storm made a disaster in our town.,큰 폭풍이 우리 마을에 재난을 일으켰어요.
The birthday party was a disaster.,생일 파티가 완전한 실패였어요.
I discover a pretty shell on the sandy beach.,나는 모래사장에서 예쁜 조개를 발견해요.
I made a discovery about the pretty rock.,나는 예쁜 돌을 발견했어요.
We discuss our fun story in class.,우리들은 수업 시간에 재미있는 이야기를 토론해요.
The class had a discussion about our picnic plan.,반이 소풍 계획에 대해 토의했어요.
The teacher will distribute toys to kids.,선생님이 아이들에게 장난감을 분배해요.
I do my homework every day.,나는 매일 숙제를 해요.
We must never do harm to animals.,동물들에게 결코 해를 끼치지 않아요.
I will do one's best to learn English.,나는 영어 배우기 위해 최선을 다해요.
I do the dishes with my mom.,나는 엄마와 함께 설거지해요.
I can do without extra snacks today.,오늘은 간식 없이 지낼 수 있어요.
"Do not doctor the game, play fair.","게임을 조작하지 말고, 공평하게 놀아요."
The man doctored the soup with poison.,남자가 수프에 독을 섞었어요.
The doctor helps sick children feel better.,의사가 아픈 아이들을 도와주고 있어요.
A dog is playing with a ball.,개가 공과 함께 놀고 있어요.
I play with my doll at home.,집에서 인형과 함께 놀아요.
Our school makes a donation to help others.,우리 학교가 다른 사람들을 돕기 위해 기부해요.
The donkey eats carrots every day.,당나귀가 매일 당근을 먹어요.
I open the door every morning.,매일 아침 문을 열어요.
I press the doorbell	when my friend visits.,친구가 올 때 초인종을 눌러요.
A blue dot is on the paper.,종이에 파란 점이 있어요.
Your fun will double if you play with a friend.,너의 재미는 친구와 놀면 두 배가 돼요.
My sandwich has double cheese.,내 샌드위치에는 치즈가 두 배 있어요.
The doughnut is sweet and tasty.,도넛은 달콤하고 맛있어요.
I feel down today.,오늘 기분이 침울해요.
I feel down when I lose my toy.	,장난감을 잃어버리면 우울해져요.
He slid down the slide.,그는 미끄럼틀 아래로 미끄러졌어요.
I have downtime after school.,나는 학교 후에 휴식 시간이 있어요.
We walked to the downtown park and played.,우리는 도심의 공원으로 걸어갔어요.
The dragon is friendly and kind.,용이 친절하고 착해요.
I read the book and draw a new conclusion.,나는 책을 읽고 새로운 결론을 얻어요.
I draw a pretty flower.	,나는 예쁜 꽃을 그려요.
I draw the curtains every morning.,나는 매일 아침 커튼을 당겨요.
I draw water from the well.,나는 우물에서 물을 퍼 올려요.
The new toy is a big draw for kids.,새 장난감은 아이들을 위한 인기 있는 것이에요.
Our teacher did a draw for a prize.	,우리 선생님께서 상을 위한 추첨을 했어요.	
Mom will draw the toy away from the busy road.,엄마가 바쁜 도로에서 장난감을 떼어놓고 있어요.
"The magnet is strong,	and draws on paper clips.","자석이 강해서,	종이 클립을 끌어당겨요."
I draw on my memory to solve a fun puzzle.,나는 재미있는 퍼즐을 풀 때 내 기억을 이용해요.
I keep my toys in the drawer.,내 장난감을 서랍에 보관해요.
The drawer writes a check.,수표발행인이 수표를 써요.
I made a drawing of a big house.,나는 큰 집의 그림을 그렸어요.
I found a dried leaf on the ground.,나는 땅 위에서 건조된 나뭇잎을 찾았어요.
We practiced a drill at school. 	,오늘 학교에서 훈련했어요.
I drink water every day.	,나는 매일 물을 마셔요.
I drink a cool drink after playing.,나는 놀고 난 후 시원한 음료를 마셔요.
The water is drinkable and safe to drink.,물이 마실 수 있고 안전해요.
The wind drives our boat on water.,바람이 우리 보트를 물 위에서 추진해요.
The loud sound drives the dog to run inside.,큰 소리가 강아지를 안으로 뛰게 만들어요.
I drive my toy car.,나는 장난감 차를 운전해요.
We start a drive to help our town.,우리 동네를 돕기 위한 단체 운동을 시작해요.
Loud music can drive me crazy.,시끄러운 음악이 저를 미치게 해요.
The machine drones a constant noise.,기계가 일정한 소리를 내요.
Sam is a drone who always sleeps.,샘은 게으름뱅이라서 항상 잠을 자요.
A drone flies high above the playground.,드론이 놀이터 위를 높게 날고 있어요.
The apple drops from the tree.,사과가 나무에서 떨어져요.
I will drop the game if it makes me sad.,게임이 슬프게 만들면 그만둘 거예요.
Don't drop your pencil.,연필을 떨어뜨리지 마세요.
I drop down to hide.,숨으려고 엎드려요.
I see a drop on the window.,창문 위에 방울이 있어요.
We drop by the library.,우리는 도서관에 들러요.
I went to the drugstore to get medicine.,나는 약을 사러 약국에 갔어요.
The boy happily plays the drum.,소년이 즐겁게 드럼을 쳐요.
The drummer uses a drumstick to tap the drum.,드러머가 드럼 채로 드럼을 두드려요.
The dry towel is on the rack.,건조한 수건이 걸이에 있어요.
The dry towel is on the chair.,마른 수건이 의자 위에 있어요.
My friend has a dry manner when he speaks.,내 친구는 말할 때 무미건조한 태도를 보여요.
The duck swims in the pond.,오리가 연못에서 수영하고 있어요.
We stayed home due to heavy rain.,비 때문에 우리는 집에 있었어요.
Farmers use dung to help plants grow.,농부들이 식물이 자라도록 돕기 위해 배설물을 사용해요.
